original_path,artifact_type,size_bytes,sha256,title,version,status,likely_destination,counterpart,classification,final_disposition,notes
input-documents/AI-Engineering-Handbook-Part-01-Foundations.md,md,4483,4105a6745930f2cb089dc5b5fb320403bf102cc3a4ad5a66d8d098d7bb736e44,AI Engineering Handbook Part 1,na,draft,content/disciplines/ai-engineering/handbook/foundations.md,knowledge-platform/Migration-Plan.md,canonical-new,moved,Canonical handbook foundations content
input-documents/AI-Engineering-Handbook-Part-02-Agent-Architecture.md,md,3088,0224b7a18efd7390ff8e6ce1e436b2530c797c716a08844d5c01e4b47f87b35c,AI Engineering Handbook Part 2,na,draft,content/disciplines/ai-engineering/handbook/agent-architecture-and-coordination.md,knowledge-platform/Migration-Plan.md,canonical-new,moved,Canonical handbook agent architecture content
input-documents/AI-Engineering-Handbook-Part-03-Engineering-Workflows.md,md,3606,df1496c05128f426ec277bf422c5d0f8cc3167ea6ebf9c9ae5df07196fc2104c,AI Engineering Handbook Part 3,na,draft,content/disciplines/ai-engineering/handbook/engineering-workflows.md,knowledge-platform/Migration-Plan.md,canonical-new,moved,Canonical handbook workflows content
input-documents/AI-Engineering-Handbook-Part-04-Research-Engineering.md,md,3799,15c1d8664df1d4d9e56c5455448b2d3a8895a8569ee50d5c9646f055e82875e0,AI Engineering Handbook Part 4,na,draft,content/disciplines/ai-engineering/handbook/research-engineering.md,knowledge-platform/Migration-Plan.md,canonical-new,moved,Canonical handbook research content
input-documents/AI-Engineering-Handbook-Part-05-Token-Economics-and-Context-Engineering.md,md,4675,faa1e60fbf4ddd563406652bfa207569158c85b4d77d9cac59a1d3322ed411c2,AI Engineering Handbook Part 5,na,draft,content/disciplines/ai-engineering/handbook/token-economics-and-context-engineering.md,knowledge-platform/Migration-Plan.md,canonical-new,moved,Canonical handbook token and context content
input-documents/AI-Engineering-Research-Program.md,md,6217,ddb06a78a4aeeda9a58e94cc454476adfdd0a4974bd7da0402493d22637cafde,AI Engineering Research Program,na,draft,content/disciplines/ai-engineering/research-program.md,none,canonical-new,moved,Distinct program-level architecture and roadmap
input-documents/AI-ROS-Bootstrap-Kit-v1.0/.github/workflows/README.md,md,222,6ba9ebbafc27a3b250e5b41275fc3b4c341116b524e9880f62e7cc2f448795f1,Workflows README,na,experimental,docs/repository/bootstrap-ci-placeholder.md,none,supplemental,moved,Historical placeholder for future CI scope
input-documents/AI-ROS-Bootstrap-Kit-v1.0/BOOTSTRAP-MANIFEST.md,md,1047,4f78787f4d65af2ff5eeaafc1332e86aaf4169d1963f987b3c1dd0d6740058a0,Bootstrap Manifest,na,experimental,docs/repository/bootstrap-manifest.md,README.md,supplemental,moved,Preserved bootstrap scope and normalized paths
input-documents/AI-ROS-Bootstrap-Kit-v1.0/CHANGELOG.md,md,180,348ae056159496bd9e0959944acb0a3266227ba4f0247398d995a13c16e3aec4,Changelog,0.1.0,experimental,CHANGELOG.md,none,canonical-update-candidate,moved,Promoted to active root changelog then extended
input-documents/AI-ROS-Bootstrap-Kit-v1.0/CURRENT-STATE.md,md,2305,94a0683fd1c37f55913a83b0b7379b9982a7e7e2a1da87cd97fa08ad84c5cf5d,Current State,1.0,experimental,CURRENT-STATE.md,none,canonical-update-candidate,moved,Promoted to active root current-state then updated
